"question_id","category","question_text","ground_truth_answer","source_documents","section_reference","source_priority_note","contradiction_notes","old_answer_2425","new_answer_2526","chunk_ids_top5"
"M3-03","M3","I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?","Non-tax-filers can still complete the FAFSA. The FA-DDX will attempt to pull IRS data; if none exists, the student may need to provide additional documentation. Aid eligibility is based on the SAI calculated from reported income. First-generation students may also be eligible for TRIO and other support programs.","avg_ch2_202526.txt + avg_ch5_202526.txt + nasfaa_about_financial_aid.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — FAFSA non-filers + Ch. 5 — special cases + NASFAA consumer guide","federal-primary (priority 1) + professional (priority 3)","","","","chunk_000143 (avg_ch5_202526.txt) | chunk_000082 (avg_ch3_202526.txt) | chunk_000857 (avg_ch3_202425.txt) | chunk_000072 (avg_ch2_202526.txt) | chunk_001613 (nasfaa_about_financial_aid.txt)"
"M3-04","M3","Can I appeal if my financial aid gets cut off because of my grades?","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","vol1_ch1_202526.txt + sap_consumer.txt + uw_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP appeals and probation + studentaid.gov SAP consumer page + institutional SAP appeal policy","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","","","","chunk_001639 (uw_sap.txt) | chunk_001636 (uw_sap.txt) | chunk_001632 (umich_sap.txt) | chunk_000203 (vol1_ch1_202526.txt) | chunk_000204 (vol1_ch1_202526.txt)"
"M3-05","M3","How is the amount of my financial aid package decided — who decides what I get?","The school's financial aid office determines the aid package. It starts with the Cost of Attendance (set by the school), subtracts the SAI (calculated from FAFSA data), and packages aid up to the resulting financial need using available federal, state, and institutional funds, subject to program limits.","vol3_ch2_202526.txt + vol3_ch3_202526.txt + avg_ch3_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 2 — COA + Ch. 3 — packaging + Vol. AVG Ch. 3 — SAI","federal-primary (priority 1)","","","","chunk_001595 (how_aid_calculated.txt) | chunk_000530 (vol3_ch3_202526.txt) | chunk_001281 (vol3_ch3_202425.txt) | chunk_000495 (vol3_ch3_202526.txt) | chunk_001290 (vol3_ch3_202425.txt)"
"M3-06","M3","My financial aid refund check is late — when is the school supposed to pay me and what are my rights?","Schools must disburse Title IV aid within specific timeframes and must provide credit balance refunds to students within 14 days of the credit balance occurring. Students have the right to hold credit balances at the institution or have them returned.","vol3_ch1_202526.txt + vol2_ch3_202526.txt + avg_ch4_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 1 — disbursement timing + Vol. 2 Ch. 3 — institutional Title IV admin requirements + Vol. AVG Ch. 4 — verification and disbursement holds","federal-primary (priority 1)","","","","chunk_000125 (avg_ch4_202526.txt) | chunk_000135 (avg_ch4_202526.txt) | chunk_000910 (avg_ch4_202425.txt) | chunk_000901 (avg_ch4_202425.txt) | chunk_001571 (fafsa_deadlines.txt)"
"M3-07","M3","Can I use financial aid to pay for an online degree program?","Yes, if the institution and program are Title IV eligible. Online programs at accredited institutions can qualify for Pell Grants, Direct Loans, and Work-Study. Distance education programs must meet specific requirements around regular and substantive interaction.","vol2_ch1_202526.txt + vol3_ch3_202526.txt + pell_grant.txt","FSA Handbook 2025-26 Vol. 2 Ch. 1 — institutional eligibility for distance education + Vol. 3 Ch. 3 — packaging + studentaid.gov Pell overview","federal-primary (priority 1) + federal-consumer (priority 2)","","","","chunk_001597 (how_aid_calculated.txt) | chunk_001598 (pell_grant.txt) | chunk_000944 (vol1_ch1_202425.txt) | chunk_001520 (vol6_intro_202425.txt) | chunk_000619 (vol6_ch1_202526.txt)"
"M3-08","M3","I got more financial aid than I needed and spent it — do I have to pay any of it back if I withdraw?","Yes, potentially. If a student withdraws before completing 60% of the payment period, a Return of Title IV Funds (R2T4) calculation determines how much aid was earned. Unearned aid must be returned by the school and possibly by the student. The order of return follows federal priority: unsubsidized loans, subsidized loans, Pell Grants, other grants.","vol5_ch1_202526.txt + vol3_ch1_202526.txt + avg_ch4_202526.txt","FSA Handbook 2025-26 Vol. 5 Ch. 1 — R2T4 calculation + Vol. 3 Ch. 1 — disbursement + Vol. AVG Ch. 4 — verification holds","federal-primary (priority 1)","","","","chunk_001632 (umich_sap.txt) | chunk_001325 (vol5_ch1_202425.txt) | chunk_000537 (vol5_ch1_202526.txt) | chunk_001399 (vol5_intro_202425.txt) | chunk_001322 (vol5_ch1_202425.txt)"
"M3-09","M3","My school put me on academic probation — is that the same as losing my financial aid?","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","vol1_ch1_202526.txt + sap_consumer.txt + pace_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP independence from academic standing + studentaid.gov SAP consumer page + Pace University SAP policy","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","","","","chunk_001630 (umich_sap.txt) | chunk_001632 (umich_sap.txt) | chunk_000976 (vol1_ch1_202425.txt) | chunk_001602 (sap_consumer.txt) | chunk_001373 (vol5_ch1_202425.txt)"
"M3-10","M3","I'm getting married and my spouse has a lot of student loan debt — will that affect my financial aid?","For independent students, a spouse's income is included in the SAI calculation, which can reduce aid eligibility. However, a spouse's existing student loan debt does not directly reduce the SAI. The FAFSA collects household income and assets, not existing debt obligations.","avg_ch2_202526.txt + avg_ch3_202526.txt + vol3_ch2_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — FAFSA spouse questions + Ch. 3 — SAI calculation + Vol. 3 Ch. 2 — COA and budget","federal-primary (priority 1)","","","","chunk_000143 (avg_ch5_202526.txt) | chunk_000839 (avg_ch2_202425.txt) | chunk_000062 (avg_ch2_202526.txt) | chunk_000092 (avg_ch3_202526.txt) | chunk_000867 (avg_ch3_202425.txt)"
"C-01","C","Does the government require me to pass 80% of my classes to keep my financial aid?","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","vol1_ch1_202526.txt + uw_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP quantitative standard + UW SAP policy","federal-primary (priority 1) overrides institutional (priority 4)","UW verbatim: 'Complete a minimum of 80% of the cumulative credits you attempted.' Federal standard is 67%.","","","chunk_001545 (vol7_ch3_202425.txt) | chunk_001281 (vol3_ch3_202425.txt) | chunk_000495 (vol3_ch3_202526.txt) | chunk_000761 (vol7_ch3_202526.txt) | chunk_000166 (vol1_ch1_202526.txt)"
"C-02","C","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","vol1_ch1_202526.txt + pace_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP qualitative GPA standard + Pace University SAP policy","federal-primary (priority 1) overrides institutional (priority 4)","Pace verbatim: 'Minimum Cumulative QPA: 2.50' for School of Education undergraduate students. Federal standard is 2.0.","","","chunk_000166 (vol1_ch1_202526.txt) | chunk_000942 (vol1_ch1_202425.txt) | chunk_000783 (vol7_intro_202526.txt) | chunk_001201 (vol2_intro_202425.txt) | chunk_000420 (vol2_intro_202526.txt)"
"C-03","C","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","vol1_ch1_202526.txt + pace_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP quantitative standard + Pace University tiered SAP policy","federal-primary (priority 1) overrides institutional (priority 4)","Pace verbatim: '96-180 credits attempted: Required Percentage Passed 70%.' Federal standard is 67% at all credit levels.","","","chunk_001638 (uw_sap.txt) | chunk_001637 (uw_sap.txt) | chunk_001634 (uw_sap.txt) | chunk_001633 (uw_sap.txt) | chunk_000761 (vol7_ch3_202526.txt)"
"C-04","C","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","Yes. The federal maximum timeframe standard requires students to complete their program within 150% of the published program length (e.g., six years for a four-year degree). However, some institutions set stricter timeframes. This is a federal floor, not a ceiling.","vol1_ch1_202526.txt + uw_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP maximum timeframe + UW SAP maximum timeframe policy","federal-primary (priority 1) — institutional policies may be stricter","UW SAP page specifies maximum timeframe consistent with federal 150% standard but applies it to all aid including institutional.","","","chunk_001634 (uw_sap.txt) | chunk_001637 (uw_sap.txt) | chunk_001633 (uw_sap.txt) | chunk_000760 (vol7_ch2_202526.txt) | chunk_001544 (vol7_ch2_202425.txt)"
"C-05","C","My school told me I need a 2.0 GPA to keep my aid — but the financial aid page says something different than what an advisor told me. Which one is right?","The federal minimum is 2.0. If an institutional page states a higher requirement, the institutional standard applies to institutional aid while federal aid follows the federal standard. If there is a conflict between verbal advice and a written policy, the written policy on the institutional financial aid page governs.","vol1_ch1_202526.txt + umich_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — federal SAP GPA floor + U-M SAP policy","federal-primary (priority 1) for federal aid; institutional (priority 4) for institutional aid","U-M SAP page states 2.0 GPA minimum for undergraduates consistent with federal standard; confirms federal and institutional standards can differ for different aid types.","","","chunk_001633 (uw_sap.txt) | chunk_001148 (vol2_ch3_202425.txt) | chunk_000166 (vol1_ch1_202526.txt) | chunk_000935 (avg_intro_202425.txt) | chunk_000160 (avg_intro_202526.txt)"
"T-01","T","How does the government figure out how much financial aid I need?","Financial need is calculated as: Cost of Attendance (COA) minus Student Aid Index (SAI). The SAI replaced the Expected Family Contribution (EFC) formula starting with the 2024-25 award year under the FAFSA Simplification Act.","avg_ch3_202526.txt + how_aid_calculated.txt","FSA Handbook 2025-26 Vol. AVG Ch. 3 — SAI + studentaid.gov how aid is calculated","federal-primary 2025-26 (priority 1) — 2024-25 handbook used EFC formula","","2024-25: Financial Need = COA − EFC (Expected Family Contribution). EFC calculated using federal needs analysis formula.","2025-26: Financial Need = COA − SAI (Student Aid Index). SAI replaced EFC under FAFSA Simplification Act. SAI can be negative (as low as −1500).","chunk_001595 (how_aid_calculated.txt) | chunk_001597 (how_aid_calculated.txt) | chunk_001596 (how_aid_calculated.txt) | chunk_001148 (vol2_ch3_202425.txt) | chunk_001281 (vol3_ch3_202425.txt)"
"T-02","T","What tax information does the FAFSA use and where does it come from?","The 2025-26 FAFSA uses 2023 federal tax return data. The data is transferred automatically through the FUTURE Act Direct Data Exchange (FA-DDX), which replaced the IRS Data Retrieval Tool (IRS-DRT).","avg_ch2_202526.txt + avg_ch2_202425.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — FA-DDX + 2024-25 Vol. AVG Ch. 2 — IRS-DRT","federal-primary 2025-26 (priority 1) — 2024-25 handbook referenced IRS-DRT which is retired","","2024-25: Tax data transferred via IRS Data Retrieval Tool (IRS-DRT). Applicants could opt in to pull data from 2022 tax returns.","2025-26: IRS-DRT retired. Replaced by FA-DDX (FUTURE Act Direct Data Exchange). Data pulled automatically from 2023 tax returns with applicant consent through StudentAid.gov.","chunk_000881 (avg_ch4_202425.txt) | chunk_000072 (avg_ch2_202526.txt) | chunk_000937 (avg_intro_202425.txt) | chunk_000143 (avg_ch5_202526.txt) | chunk_000161 (avg_intro_202526.txt)"
"T-03","T","I heard the FAFSA got simpler recently — what actually changed?","The FAFSA Simplification Act reduced the number of questions on the FAFSA, replaced the EFC with the SAI, changed how family size is determined, and introduced the FA-DDX for automatic tax data transfer. The simplified FAFSA first applied to the 2024-25 award year.","avg_ch2_202526.txt + avg_ch1_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 1 — overview of FAFSA changes + Ch. 2 — simplified form","federal-primary 2025-26 (priority 1)","","2024-25: First year of simplified FAFSA. EFC replaced by SAI. Number of questions reduced. FA-DDX introduced.","2025-26: Simplified FAFSA fully in effect. No major additional changes from prior year.","chunk_000938 (avg_intro_202425.txt) | chunk_000162 (avg_intro_202526.txt) | chunk_000161 (avg_intro_202526.txt) | chunk_001613 (nasfaa_about_financial_aid.txt) | chunk_000003 (avg_ch1_202526.txt)"
"T-04","T","Does the number of people in my family still affect my financial aid the same way it used to?","The FAFSA Simplification Act changed how family size is determined. Under the new rules, family size is based on the number of people listed as dependents on the federal tax return, rather than the prior self-reported household count. This change took effect starting with the 2024-25 FAFSA.","avg_ch2_202526.txt + avg_ch2_202425.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — family size definition + 2024-25 Ch. 2 for comparison","federal-primary 2025-26 (priority 1)","","2024-25: Family size began transitioning to tax-return-based definition under FAFSA Simplification Act.","2025-26: Family size determined by number of dependents on the tax return. Self-reported household size no longer used for the SAI calculation.","chunk_000845 (avg_ch2_202425.txt) | chunk_000040 (avg_ch2_202526.txt) | chunk_000068 (avg_ch2_202526.txt) | chunk_000143 (avg_ch5_202526.txt) | chunk_000820 (avg_ch2_202425.txt)"
"T-05","T","I'm applying for aid for two kids in college at the same time — does having more than one in college help us get more aid?","Under the 2025-26 rules, the number of family members in college no longer reduces the SAI. This is a significant change from prior years. Under the old EFC formula, having multiple students in college simultaneously reduced the EFC, increasing aid. Under the SAI formula, this discount was eliminated.","avg_ch3_202526.txt + avg_ch3_202425.txt","FSA Handbook 2025-26 Vol. AVG Ch. 3 — SAI and multiple college students + 2024-25 Ch. 3 — EFC multiple student adjustment","federal-primary 2025-26 (priority 1)","","2024-25: EFC formula divided the parental contribution by the number of family members enrolled in college, reducing each student's EFC.","2025-26: SAI formula does not divide by number of college students. Having multiple family members in college no longer reduces the SAI. Each student's SAI is calculated independently.","chunk_001299 (vol3_ch3_202425.txt) | chunk_000173 (vol1_ch1_202526.txt) | chunk_000845 (avg_ch2_202425.txt) | chunk_001201 (vol2_intro_202425.txt) | chunk_000420 (vol2_intro_202526.txt)"
"T-06","T","My family owns a small business — does that count against my financial aid?","Under the 2025-26 rules, small businesses owned by the family with fewer than 100 full-time employees are excluded from the SAI calculation. This is the same exclusion that applied under the prior EFC formula. However, the definition of excluded assets was clarified under the FAFSA Simplification Act.","avg_ch3_202526.txt + avg_ch3_202425.txt","FSA Handbook 2025-26 Vol. AVG Ch. 3 — SAI asset exclusions + 2024-25 Ch. 3 — EFC asset exclusions","federal-primary 2025-26 (priority 1)","","2024-25: Small businesses with fewer than 100 employees excluded from EFC calculation.","2025-26: Same exclusion applies under SAI formula. Asset treatment clarified but exclusion unchanged.","chunk_000829 (avg_ch2_202425.txt) | chunk_000847 (avg_ch2_202425.txt) | chunk_000080 (avg_ch3_202526.txt) | chunk_000855 (avg_ch3_202425.txt) | chunk_000072 (avg_ch2_202526.txt)"
"T-07","T","Does my 529 college savings plan hurt my chances of getting financial aid?","Yes, but to a limited degree. A 529 plan owned by a dependent student's parent is counted as a parental asset and assessed at a maximum rate of 5.64%. Under both the old EFC and new SAI formulas, parental assets are weighted more favorably than student assets. The specific assessment rate did not change substantially with the FAFSA Simplification Act.","avg_ch3_202526.txt + avg_ch3_202425.txt","FSA Handbook 2025-26 Vol. AVG Ch. 3 — asset treatment under SAI + 2024-25 Ch. 3 — asset treatment under EFC","federal-primary 2025-26 (priority 1)","","2024-25: 529 owned by parent assessed at up to 5.64% of value under EFC formula.","2025-26: 529 owned by parent assessed at up to 5.64% under SAI formula. Grandparent-owned 529 distributions no longer reported as student income starting 2024-25.","chunk_001612 (nasfaa_about_financial_aid.txt) | chunk_001617 (nasfaa_about_financial_aid.txt) | chunk_001613 (nasfaa_about_financial_aid.txt) | chunk_000830 (avg_ch2_202425.txt) | chunk_001616 (nasfaa_about_financial_aid.txt)"
"T-08","T","I heard there's a new way the FAFSA handles money my grandparents give me for college — what changed?","Starting with the 2024-25 FAFSA, distributions from grandparent-owned 529 plans are no longer reported as student income on the FAFSA. Previously, these distributions were counted as student income and could significantly reduce aid eligibility. This change was part of the FAFSA Simplification Act.","avg_ch2_202526.txt + avg_ch3_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — income reporting changes + Ch. 3 — SAI asset and income treatment","federal-primary 2025-26 (priority 1)","","2024-25: Grandparent 529 distributions no longer reported as student income — first year of this change under FAFSA Simplification Act.","2025-26: Same rule in effect. Grandparent 529 distributions excluded from student income calculation.","chunk_000143 (avg_ch5_202526.txt) | chunk_001613 (nasfaa_about_financial_aid.txt) | chunk_000938 (avg_intro_202425.txt) | chunk_000918 (avg_ch5_202425.txt) | chunk_000072 (avg_ch2_202526.txt)"
"T-09","T","What is the Student Aid Index and how is it different from what they used to use?","The Student Aid Index (SAI) is a number used to determine federal aid eligibility. It replaced the Expected Family Contribution (EFC). Unlike the EFC, the SAI can be negative (as low as −1500), indicating the highest level of financial need. A lower SAI means more aid. The SAI is not the amount a family is expected to pay.","avg_ch3_202526.txt + avg_ch3_202425.txt","FSA Handbook 2025-26 Vol. AVG Ch. 3 — SAI definition + 2024-25 Ch. 3 — EFC definition","federal-primary 2025-26 (priority 1)","","2024-25: Expected Family Contribution (EFC) used. EFC is always zero or positive. Interpreted as expected parental contribution.","2025-26: Student Aid Index (SAI) replaces EFC. Can range from −1500 to 999,999. Explicitly not an expected payment amount. Calculated from tax and asset data via FA-DDX.","chunk_001596 (how_aid_calculated.txt) | chunk_001148 (vol2_ch3_202425.txt) | chunk_001317 (vol3_intro_202425.txt) | chunk_000531 (vol3_intro_202526.txt) | chunk_001520 (vol6_intro_202425.txt)"
"T-10","T","I filed my FAFSA last year — do I need to redo the whole thing or can I just update it?","Students must submit a new FAFSA each academic year. However, most information carries over from the prior year's application and can be updated rather than re-entered from scratch. Tax data is refreshed automatically via the FA-DDX each year.","avg_ch1_202526.txt + avg_ch2_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 1 — FAFSA renewal process + Ch. 2 — FA-DDX annual data refresh","federal-primary 2025-26 (priority 1)","","2024-25: Renewal FAFSA available with prior year data carried over. IRS-DRT used to refresh tax data.","2025-26: Renewal FAFSA available. FA-DDX replaces IRS-DRT for automatic annual tax data refresh.","chunk_000132 (avg_ch4_202526.txt) | chunk_000162 (avg_intro_202526.txt) | chunk_000908 (avg_ch4_202425.txt) | chunk_000897 (avg_ch4_202425.txt) | chunk_000121 (avg_ch4_202526.txt)"
