"run_id","question_id","category","condition","query","answer","ground_truth_answer","my_score","supervisor_score","notes"
"2","C-01","C","RAG-Standard","Does the government require me to pass 80% of my classes to keep my financial aid?","The context provided does not contain information regarding specific requirements for passing a certain percentage of classes to maintain financial aid. Therefore, I cannot answer your question based on the information available.","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","0.0","",""
"4","C-02","C","Baseline-LLM","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","The context does not provide information about a specific GPA requirement set by the federal government for students in education programs to keep their aid. Therefore, I cannot answer that question based on the provided information.","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","0.0","",""
"6","C-02","C","RAG-AuthAware","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","The context provided does not contain any information regarding GPA requirements for students in education programs to keep their federal aid. Therefore, I cannot answer that question.","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","0.0","",""
"7","C-03","C","Baseline-LLM","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","The context does not provide information about federal rules regarding the completion percentage of classes after taking a certain number of credits. Therefore, I cannot determine if this requirement is a federal rule.","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","0.0","",""
"8","C-03","C","RAG-Standard","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","The context does not provide information about a federal rule requiring students to complete 70% of their classes after taking more than 96 credits. The completion percentage mentioned in the context for graduate and professional students is 67%, and for undergraduates, it is 80%. Therefore, the requirement from your school is not mentioned in the provided context and may be specific to your institution.","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","0.5","",""
"10","C-04","C","Baseline-LLM","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","Yes, the federal government does set a maximum time limit for how long you can take to finish your degree and still receive federal student aid. Generally, you must complete your program within 150% of the published length of the program. For example, if your degree program is designed to take four years, you would have up to six years to complete it and still be eligible for federal aid.","Yes. The federal maximum timeframe standard requires students to complete their program within 150% of the published program length (e.g., six years for a four-year degree). However, some institutions set stricter timeframes. This is a federal floor, not a ceiling.","1.0","",""
"12","C-04","C","RAG-AuthAware","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","The context does not provide specific information about a federal government-set maximum time limit for completing a degree to remain eligible for financial aid. It mentions that schools must apply their own standards consistently, but does not specify federal limits. Therefore, I cannot answer your question based on the provided information.","Yes. The federal maximum timeframe standard requires students to complete their program within 150% of the published program length (e.g., six years for a four-year degree). However, some institutions set stricter timeframes. This is a federal floor, not a ceiling.","0.0","",""
"18","M2-01","M2","RAG-AuthAware","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","No, you do not have to pay the interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.","No. The federal government pays the interest on Direct Subsidized Loans while the student is enrolled at least half-time. Interest does not accrue during this period.","1.0","",""
"19","M2-02","M2","Baseline-LLM","Can I get a Pell Grant and a Work-Study job at the same time?","Yes, you can receive a Pell Grant and have a Work-Study job at the same time.","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","1.0","",""
"20","M2-02","M2","RAG-Standard","Can I get a Pell Grant and a Work-Study job at the same time?","The context does not provide information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the provided information.","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","0.0","",""
"36","M2-07","M2","RAG-AuthAware","What is the difference between a subsidized and an unsubsidized loan?","Direct Subsidized Loans are available to undergraduate students with financial need, and the U.S. Department of Education pays the interest on these loans while the student is in school at least half-time, during the grace period, and during deferment. 

In contrast, Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without the requirement to demonstrate financial need. The borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.","The government pays the interest on subsidized loans while the student is enrolled at least half-time; unsubsidized loans accrue interest from the time they are disbursed. Both have the same repayment terms otherwise. Eligibility for subsidized loans requires demonstrated financial need; unsubsidized loans are available regardless of need.","1.0","",""
"41","M2-09","M2","RAG-Standard","Does my financial aid get affected if I change my major?","The provided context does not contain information regarding the impact of changing a major on financial aid. Therefore, I cannot answer your question based on the available information.","Changing a major does not directly affect federal aid eligibility, but it can affect the maximum timeframe standard. Students must complete their program within 150% of the published program length. A major change that adds required credits may push a student closer to the 150% limit.","0.0","",""
"45","M2-10","M2","RAG-AuthAware","What happens to my financial aid if I take a semester off?","The context does not provide specific information about what happens to financial aid if a student takes a semester off. Therefore, I cannot answer your question clearly based on the provided information.","Taking a leave of absence may trigger the grace period on federal loans and affect SAP status depending on how the institution counts the leave. Pell Grant eligibility resumes when the student re-enrolls. The student must re-establish eligibility if they were placed on SAP suspension.","0.0","",""
"46","M2-11","M2","Baseline-LLM","Can a graduate student get a Pell Grant?","No, graduate students are not eligible for Pell Grants. Pell Grants are typically awarded only to undergraduate students who demonstrate financial need.","No. Federal Pell Grants are available only to undergraduate students who have not yet earned a bachelor's or professional degree. Graduate students are not eligible.","1.0","",""
"49","M2-12","M2","Baseline-LLM","How do I know if I qualify for a subsidized loan versus an unsubsidized loan?","The context does not provide specific information on how to determine qualification for subsidized versus unsubsidized loans. Therefore, I cannot answer your question based on the provided information.","Subsidized loan eligibility requires demonstrated financial need (COA minus SAI greater than zero) and enrollment at least half-time. Unsubsidized loans are available to eligible students regardless of financial need. Both require the student to be enrolled at least half-time in a degree or certificate program.","0.0","",""
"59","M2-15","M2","RAG-Standard","Will getting married change how much financial aid I get?","Getting married can potentially change how much financial aid you receive, as your marital status affects your dependency status and the information reported on your FAFSA form. If you are a dependent student and your parent marries or remarries, you must update your family size to include the new stepparent, but you would not count the stepparent’s income and assets. If you are an independent student, your spouse's income and assets will be considered in determining your financial aid eligibility. However, the specific impact on your financial aid amount would depend on your overall financial situation and the calculations made by the financial aid administrator.","Yes, for independent students. Marriage changes dependency status — a married student is considered independent regardless of age. This means parental income is no longer included in the SAI calculation, which can significantly change aid eligibility.","0.5","",""
"61","M3-01","M3","Baseline-LLM","Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?","Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The specific amounts depend on your financial need, the cost of attendance at your school, and other factors. It's important to check with your school's financial aid office for details on the limits that apply to your situation.","Yes. All three can be awarded simultaneously. Total need-based aid cannot exceed the student's financial need (COA minus SAI). Total aid from all sources cannot exceed the Cost of Attendance.","0.5","",""
"62","M3-01","M3","RAG-Standard","Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?","Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. 

For the Pell Grant, the maximum award for the 2026–27 award year is $7,395, but the amount you receive will depend on various factors such as your Student Aid Index and cost of attendance. 

For Work-Study, your total award depends on when you apply, your level of financial need, and your school's funding level. 

For loans, there are aggregate limits based on your level of education (undergraduate or graduate) and whether you have received subsidized loans. If your total loan amount exceeds the aggregate limit for your level, you won't be eligible for additional loans.

It's important to consult your school's financial aid office for specific details regarding your eligibility and the total amounts you can receive.","Yes. All three can be awarded simultaneously. Total need-based aid cannot exceed the student's financial need (COA minus SAI). Total aid from all sources cannot exceed the Cost of Attendance.","0.5","",""
"64","M3-02","M3","Baseline-LLM","What happens to my loans and scholarship if I drop below half-time or withdraw from school?","The context does not provide specific information about what happens to loans and scholarships if you drop below half-time or withdraw from school. Therefore, I cannot answer your question.","Federal Direct Loan grace periods begin. Subsidized loan interest starts accruing after the grace period ends. Return of Title IV funds calculations may require repayment of a portion of aid. University scholarship eligibility depends on institutional enrollment requirements.","0.0","",""
"70","M3-04","M3","Baseline-LLM","Can I appeal if my financial aid gets cut off because of my grades?","The context does not provide information about appealing financial aid decisions related to grades. Therefore, I cannot answer your question.","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","0.0","",""
"72","M3-04","M3","RAG-AuthAware","Can I appeal if my financial aid gets cut off because of my grades?","Yes, you can appeal if your financial aid gets cut off because of your grades. You will need to demonstrate unusual circumstances beyond your control that are not likely to recur in the immediate future and explain what has changed in your situation so that you will now be able to make academic progress. If your appeal is approved, you will need to meet the requirements of an individual academic plan to continue receiving financial aid.","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","1.0","",""
"71","M3-04","M3","RAG-Standard","Can I appeal if my financial aid gets cut off because of my grades?","Yes, you can appeal if your financial aid gets cut off because you did not meet the progress requirements due to special circumstances. You will need to demonstrate unusual circumstances beyond your control and explain what has changed in your situation. If your appeal is approved, you may need to meet the requirements of an individual academic plan to continue receiving financial aid.","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","1.0","",""
"81","M3-07","M3","RAG-AuthAware","Can I use financial aid to pay for an online degree program?","The context does not provide specific information about the eligibility of financial aid for online degree programs. Therefore, I cannot answer your question clearly based on the provided information.","Yes, if the institution and program are Title IV eligible. Online programs at accredited institutions can qualify for Pell Grants, Direct Loans, and Work-Study. Distance education programs must meet specific requirements around regular and substantive interaction.","0.0","",""
"87","M3-09","M3","RAG-AuthAware","My school put me on academic probation — is that the same as losing my financial aid?","No, being on academic probation is not the same as losing your financial aid. Academic probation is a status assigned by your school, while financial aid probation is a separate status related to your financial aid eligibility. You may be on both types of probation at the same time, but they are different. If you do not meet the terms of financial aid probation, then you may lose your financial aid in subsequent semesters.","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","1.0","",""
"86","M3-09","M3","RAG-Standard","My school put me on academic probation — is that the same as losing my financial aid?","No, being placed on academic probation by your school is not the same as losing your financial aid. Academic probation and financial aid probation are different statuses. However, if you do not meet the terms of financial aid probation, you may lose your financial aid eligibility in subsequent semesters.","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","1.0","",""
"91","S-01","S","Baseline-LLM","What is the maximum Pell Grant I can get for the 2025-26 school year?","The context does not provide information about the maximum Pell Grant for the 2025-26 school year.","The maximum Federal Pell Grant award is $7,395 for the 2025-26 award year.","0.0","",""
"94","S-02","S","Baseline-LLM","When is the last day I can submit my FAFSA for the 2025-26 school year?","The context does not provide information about the last day to submit the FAFSA for the 2025-26 school year.","The 2025-26 FAFSA form must be submitted by 11:59 p.m. Central time (CT) on June 30, 2026.","0.0","",""
"99","S-03","S","RAG-AuthAware","How many years can I receive a Pell Grant in total?","You can receive a Federal Pell Grant for no more than 12 full-time terms or the equivalent of roughly six years.","You can receive the Pell Grant for no more than 12 semesters (or the equivalent), which is measured by your Lifetime Eligibility Used (LEU). Once you reach 100% LEU you are no longer eligible.","0.5","",""
"102","S-04","S","RAG-AuthAware","Do I have to pay back a Pell Grant?","A Federal Pell Grant, unlike a loan, does not have to be repaid, except under certain circumstances.","Pell Grants do not have to be repaid in most cases. They are grants, not loans.","1.0","",""
"101","S-04","S","RAG-Standard","Do I have to pay back a Pell Grant?","A Federal Pell Grant, unlike a loan, does not have to be repaid, except under certain circumstances.","Pell Grants do not have to be repaid in most cases. They are grants, not loans.","1.0","",""
"104","S-05","S","RAG-Standard","What GPA do I need to keep my federal financial aid?","To keep your federal financial aid, you need to maintain a satisfactory academic progress standard, which typically includes maintaining a minimum GPA as determined by your school. For the University of Washington, undergraduate students must maintain at least a 2.0 cumulative GPA at the end of spring quarter. However, specific GPA requirements may vary by institution, so it's important to check your school's policy.","Students must maintain a minimum cumulative GPA of 2.0 on a 4.0 scale (or its equivalent) to maintain Satisfactory Academic Progress for federal aid eligibility.","0.5","",""
"121","S-11","S","Baseline-LLM","What happens to my financial aid if I repeat a class I already passed?","The context does not provide information about what happens to financial aid if you repeat a class you already passed. Therefore, I cannot answer your question.","A student may receive Title IV aid for one repetition of a previously passed course. Aid cannot be paid for a second or subsequent repetition of a course the student passed.","0.0","",""
"126","S-12","S","RAG-AuthAware","Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?","No, you generally cannot get federal financial aid if you are in default on a Direct Loan, FFEL Program Loan, or Perkins Loan, or if you owe an overpayment on a Pell, TEACH, IASG, or FSEOG grant and have not made a repayment arrangement for the default or overpayment.","Students who are in default on a federal student loan are not eligible for additional Title IV federal student aid until the default is resolved.","1.0","",""
"125","S-12","S","RAG-Standard","Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?","No, you generally cannot get federal financial aid if you are in default on a Direct Loan, FFEL Program Loan, or Perkins Loan, or if you owe an overpayment on a Pell, TEACH, IASG, or FSEOG grant and have not made a repayment arrangement for the default or overpayment.","Students who are in default on a federal student loan are not eligible for additional Title IV federal student aid until the default is resolved.","1.0","",""
"141","T-02","T","RAG-AuthAware","What tax information does the FAFSA use and where does it come from?","The FAFSA uses federal tax information (FTI) that includes data such as Adjusted Gross Income (AGI), income earned from work, U.S. income tax paid, and other relevant tax details. This information is obtained directly from the Internal Revenue Service (IRS) through the FUTURE Act Direct Data Exchange (FA-DDX). The FA-DDX facilitates the transfer of tax information to the FAFSA form, eliminating the need for most applicants to self-report their income and tax information.","The 2025-26 FAFSA uses 2023 federal tax return data. The data is transferred automatically through the FUTURE Act Direct Data Exchange (FA-DDX), which replaced the IRS Data Retrieval Tool (IRS-DRT).","0.5","",""
"140","T-02","T","RAG-Standard","What tax information does the FAFSA use and where does it come from?","The FAFSA uses the following tax information:

(a) Adjusted Gross Income (AGI)  
(b) Income Earned from Work  
(c) U.S. Income Tax Paid  
(d) Untaxed Portions of IRA Distributions  
(e) Untaxed Portions of Pensions  
(f) IRA Deductions and Payments  
(g) Tax Exempt Interest Income  
(h) Education Credits  
(i) Foreign Income Exempt from Federal Taxation  

This information can be transferred directly from the IRS, and if it is unchanged, it does not need to be verified. If the information is not transferred from the IRS, documentation such as a transcript from the IRS or a signed copy of the income tax return must be provided for verification.","The 2025-26 FAFSA uses 2023 federal tax return data. The data is transferred automatically through the FUTURE Act Direct Data Exchange (FA-DDX), which replaced the IRS Data Retrieval Tool (IRS-DRT).","0.5","",""
"142","T-03","T","Baseline-LLM","I heard the FAFSA got simpler recently — what actually changed?","The context does not provide specific information about the changes to the FAFSA. Therefore, I cannot answer your question about what changed in the FAFSA.","The FAFSA Simplification Act reduced the number of questions on the FAFSA, replaced the EFC with the SAI, changed how family size is determined, and introduced the FA-DDX for automatic tax data transfer. The simplified FAFSA first applied to the 2024-25 award year.","0.0","",""
"146","T-04","T","RAG-Standard","Does the number of people in my family still affect my financial aid the same way it used to?","No, the number of people in your family does not affect the SAI calculation in the same way it used to. While the number in college is still a required question on the FAFSA form, it is no longer used to calculate the SAI. However, schools can use the information for special circumstance adjustments.","The FAFSA Simplification Act changed how family size is determined. Under the new rules, family size is based on the number of people listed as dependents on the federal tax return, rather than the prior self-reported household count. This change took effect starting with the 2024-25 FAFSA.","1.0","",""
"148","T-05","T","Baseline-LLM","I'm applying for aid for two kids in college at the same time — does having more than one in college help us get more aid?","The context does not provide information about whether having more than one child in college affects the amount of financial aid you can receive. Therefore, I cannot answer your question based on the provided information.","Under the 2025-26 rules, the number of family members in college no longer reduces the SAI. This is a significant change from prior years. Under the old EFC formula, having multiple students in college simultaneously reduced the EFC, increasing aid. Under the SAI formula, this discount was eliminated.","0.0","",""
"151","T-06","T","Baseline-LLM","My family owns a small business — does that count against my financial aid?","The context does not provide specific information about how owning a small business affects financial aid eligibility. Therefore, I cannot answer your question clearly.","Under the 2025-26 rules, small businesses owned by the family with fewer than 100 full-time employees are excluded from the SAI calculation. This is the same exclusion that applied under the prior EFC formula. However, the definition of excluded assets was clarified under the FAFSA Simplification Act.","0.0","",""
"152","T-06","T","RAG-Standard","My family owns a small business — does that count against my financial aid?","Yes, the net worth of all businesses must be reported on the FAFSA form, regardless of the size of the enterprise. This means that the value of your family's small business could be considered in the financial aid assessment.","Under the 2025-26 rules, small businesses owned by the family with fewer than 100 full-time employees are excluded from the SAI calculation. This is the same exclusion that applied under the prior EFC formula. However, the definition of excluded assets was clarified under the FAFSA Simplification Act.","0.0","",""
"156","T-07","T","RAG-AuthAware","Does my 529 college savings plan hurt my chances of getting financial aid?","The context does not provide specific information about how a 529 college savings plan affects financial aid eligibility. Therefore, I cannot answer your question clearly based on the provided information.","Yes, but to a limited degree. A 529 plan owned by a dependent student's parent is counted as a parental asset and assessed at a maximum rate of 5.64%. Under both the old EFC and new SAI formulas, parental assets are weighted more favorably than student assets. The specific assessment rate did not change substantially with the FAFSA Simplification Act.","0.0","",""
