"question_id","category","condition","answer_correctness","scorer_notes"
"S-01","S","Baseline-LLM","0","Says context does not provide info — no answer"
"S-01","S","RAG-Standard","1","Correct: $7,395"
"S-01","S","RAG-AuthAware","0","Wrong: says amount not specified — F≠C failure mode"
"S-02","S","Baseline-LLM","0","Says context does not provide info"
"S-02","S","RAG-Standard","1","Correct: June 30 2026 11:59 CT"
"S-02","S","RAG-AuthAware","1","Correct: same"
"S-03","S","Baseline-LLM","0.5","Correct 12 semesters but omits LEU mechanism"
"S-03","S","RAG-Standard","0.5","Correct 12 terms but no LEU mention"
"S-03","S","RAG-AuthAware","0.5","Correct 12 terms but no LEU mention"
"S-04","S","Baseline-LLM","1","Correct: no repayment required"
"S-04","S","RAG-Standard","1","Correct"
"S-04","S","RAG-AuthAware","1","Correct"
"S-05","S","Baseline-LLM","0","Says context does not provide specific GPA info"
"S-05","S","RAG-Standard","0.5","Mentions SAP but does not specify 2.0 GPA floor"
"S-05","S","RAG-AuthAware","0.5","Mentions SAP standards but no specific 2.0 GPA"
"S-06","S","Baseline-LLM","0","Says context does not provide info"
"S-06","S","RAG-Standard","0","Wrong: states 80% (UW institutional rule) not federal 67%"
"S-06","S","RAG-AuthAware","0","Wrong: states 80% — authority confusion failure"
"S-07","S","Baseline-LLM","0","Says context does not provide info"
"S-07","S","RAG-Standard","0.5","Mentions aid possible but focuses on Campus-Based not Pell/loans"
"S-07","S","RAG-AuthAware","0.5","Similar — partial, mentions Campus-Based but not full answer"
"S-08","S","Baseline-LLM","0","Says context does not provide info"
"S-08","S","RAG-Standard","1","Correct: $5,500 dependent / limits stated"
"S-08","S","RAG-AuthAware","1","Correct"
"S-09","S","Baseline-LLM","0","Says context does not provide info"
"S-09","S","RAG-Standard","0","Says context does not provide aggregate limit — retrieval failure"
"S-09","S","RAG-AuthAware","0","Says context does not provide info — retrieval failure"
"S-10","S","Baseline-LLM","0.5","Correct yes parents income affects aid but no SAI/dependency specifics"
"S-10","S","RAG-Standard","0.5","Correct direction but vague on SAI calculation mechanism"
"S-10","S","RAG-AuthAware","0.5","Same as RAG-Standard"
"S-11","S","Baseline-LLM","0","Says context does not provide info"
"S-11","S","RAG-Standard","0.5","Mentions school policy but misses the one-repetition federal rule"
"S-11","S","RAG-AuthAware","0.5","Similar partial answer — does not state one free repeat rule clearly"
"S-12","S","Baseline-LLM","0","Says context does not provide info"
"S-12","S","RAG-Standard","1","Correct: default = ineligible until resolved"
"S-12","S","RAG-AuthAware","1","Correct"
"S-13","S","Baseline-LLM","1","Correct: six-month grace period"
"S-13","S","RAG-Standard","1","Correct: six months after graduation/leaving/below half-time"
"S-13","S","RAG-AuthAware","1","Correct"
"S-14","S","Baseline-LLM","1","Correct: part-time jobs for students with financial need"
"S-14","S","RAG-Standard","1","Correct"
"S-14","S","RAG-AuthAware","1","Correct"
"S-15","S","Baseline-LLM","0","Says context does not provide info"
"S-15","S","RAG-Standard","1","Correct: scholarships reduce financial need and can reduce aid"
"S-15","S","RAG-AuthAware","1","Correct"
"M2-01","M2","Baseline-LLM","1","Correct: government pays interest while enrolled"
"M2-01","M2","RAG-Standard","1","Correct"
"M2-01","M2","RAG-AuthAware","1","Correct"
"M2-02","M2","Baseline-LLM","1","Correct: yes both at same time"
"M2-02","M2","RAG-Standard","0","Says context does not contain info — generation failure"
"M2-02","M2","RAG-AuthAware","0","Same — generation failure"
"M2-03","M2","Baseline-LLM","1","Correct: half-time reduces Pell Grant proportionally"
"M2-03","M2","RAG-Standard","1","Correct"
"M2-03","M2","RAG-AuthAware","1","Correct"
"M2-04","M2","Baseline-LLM","1","Correct: yes must reapply/update FAFSA"
"M2-04","M2","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M2-04","M2","RAG-AuthAware","0","Same — retrieval failure"
"M2-05","M2","Baseline-LLM","0","Says context does not provide info"
"M2-05","M2","RAG-Standard","0.5","Correct yes but vague on LEU and annual limits"
"M2-05","M2","RAG-AuthAware","0.5","Similar partial answer"
"M2-06","M2","Baseline-LLM","1","Correct: parental refusal does not make student independent"
"M2-06","M2","RAG-Standard","1","Correct"
"M2-06","M2","RAG-AuthAware","1","Correct"
"M2-07","M2","Baseline-LLM","0","Says context does not provide info"
"M2-07","M2","RAG-Standard","1","Correct: government pays subsidized interest; unsubsidized accrues"
"M2-07","M2","RAG-AuthAware","1","Correct"
"M2-08","M2","Baseline-LLM","0","Says context does not provide specific info"
"M2-08","M2","RAG-Standard","0.5","Correct yes but cites UW 80% as the standard not federal 67%"
"M2-08","M2","RAG-AuthAware","0.5","Same — correct direction but wrong threshold cited"
"M2-09","M2","Baseline-LLM","0","Says context does not provide info"
"M2-09","M2","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M2-09","M2","RAG-AuthAware","0","Same — retrieval failure"
"M2-10","M2","Baseline-LLM","0","Says context does not provide info"
"M2-10","M2","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M2-10","M2","RAG-AuthAware","0","Same — retrieval failure"
"M2-11","M2","Baseline-LLM","1","Correct: grad students not eligible for Pell"
"M2-11","M2","RAG-Standard","1","Correct"
"M2-11","M2","RAG-AuthAware","1","Correct"
"M2-12","M2","Baseline-LLM","0","Says context does not provide info"
"M2-12","M2","RAG-Standard","1","Correct: need + half-time for subsidized; unsubsidized regardless"
"M2-12","M2","RAG-AuthAware","1","Correct"
"M2-13","M2","Baseline-LLM","0","Says context does not provide info"
"M2-13","M2","RAG-Standard","1","Correct: professional judgment review available"
"M2-13","M2","RAG-AuthAware","1","Correct"
"M2-14","M2","Baseline-LLM","0","Says context does not provide info"
"M2-14","M2","RAG-Standard","0.5","Mentions Work-Study wages available but misses Pell ineligibility"
"M2-14","M2","RAG-AuthAware","0.5","Same partial answer"
"M2-15","M2","Baseline-LLM","0","Says context does not provide info"
"M2-15","M2","RAG-Standard","0.5","Correct direction on dependency/SAI but lacks specifics"
"M2-15","M2","RAG-AuthAware","0","Says context does not provide enough info — generation failure"
"M3-01","M3","Baseline-LLM","0.5","Correct yes all three but vague on COA cap mechanism"
"M3-01","M3","RAG-Standard","0.5","Correct yes all three but vague on need cap vs COA cap"
"M3-01","M3","RAG-AuthAware","0.5","Same — correct but incomplete on cap details"
"M3-02","M3","Baseline-LLM","0","Says context does not provide info"
"M3-02","M3","RAG-Standard","0","Says context does not contain specific info — retrieval failure"
"M3-02","M3","RAG-AuthAware","0","Same — retrieval failure"
"M3-03","M3","Baseline-LLM","0.5","Correct non-filers can do FAFSA but no mention of FA-DDX/TRIO"
"M3-03","M3","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M3-03","M3","RAG-AuthAware","0","Same — retrieval failure"
"M3-04","M3","Baseline-LLM","0","Says context does not provide info"
"M3-04","M3","RAG-Standard","1","Correct: appeal with mitigating circumstances, probation plan"
"M3-04","M3","RAG-AuthAware","1","Correct"
"M3-05","M3","Baseline-LLM","0.5","Correct financial aid office decides but no COA/SAI formula"
"M3-05","M3","RAG-Standard","1","Correct: COA minus SAI, aid office packages up to need"
"M3-05","M3","RAG-AuthAware","1","Correct"
"M3-06","M3","Baseline-LLM","0","Says context does not provide info"
"M3-06","M3","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M3-06","M3","RAG-AuthAware","0","Same — retrieval failure"
"M3-07","M3","Baseline-LLM","0","Says context does not provide info"
"M3-07","M3","RAG-Standard","0","Says context does not provide enough info — retrieval failure"
"M3-07","M3","RAG-AuthAware","0","Same — retrieval failure"
"M3-08","M3","Baseline-LLM","0","Says context does not provide info"
"M3-08","M3","RAG-Standard","0.5","Mentions overpayment/R2T4 concept but no 60% threshold"
"M3-08","M3","RAG-AuthAware","0.5","Similar partial — mentions repayment but no 60% threshold"
"M3-09","M3","Baseline-LLM","0","Says context does not provide info"
"M3-09","M3","RAG-Standard","1","Correct: academic probation and SAP suspension are separate"
"M3-09","M3","RAG-AuthAware","1","Correct"
"M3-10","M3","Baseline-LLM","0","Says context does not provide info"
"M3-10","M3","RAG-Standard","0","Says context does not provide info — retrieval failure"
"M3-10","M3","RAG-AuthAware","0","Same — retrieval failure"
"C-01","C","Baseline-LLM","0","Says context does not provide info"
"C-01","C","RAG-Standard","0","Says context does not contain info — generation failure (C-01 noted by Dr. Aliasgari)"
"C-01","C","RAG-AuthAware","0","Same generation failure"
"C-02","C","Baseline-LLM","0","Says context does not provide info"
"C-02","C","RAG-Standard","0","Says context does not contain GPA requirement info — generation failure"
"C-02","C","RAG-AuthAware","0","Same — generation failure"
"C-03","C","Baseline-LLM","0","Says context does not provide info"
"C-03","C","RAG-Standard","0.5","Correctly says no federal rule for 70% — partially correct but vague"
"C-03","C","RAG-AuthAware","0.5","Same — correctly denies federal rule but no positive federal standard stated"
"C-04","C","Baseline-LLM","1","Correct: 150% maximum timeframe stated"
"C-04","C","RAG-Standard","0","Says context does not provide info — retrieval failure"
"C-04","C","RAG-AuthAware","0","Same — retrieval failure"
"C-05","C","Baseline-LLM","0","Cannot determine which is correct — unhelpful non-answer"
"C-05","C","RAG-Standard","0.5","Cites UW 80% requirement correctly but does not distinguish federal vs institutional"
"C-05","C","RAG-AuthAware","0","Says context does not provide enough details — generation failure"
"T-01","T","Baseline-LLM","0.5","Mentions COA and FAFSA correctly but uses EFC not SAI — temporal confusion"
"T-01","T","RAG-Standard","0.5","Mentions COA minus SAI correctly but also references EFC — partially outdated"
"T-01","T","RAG-AuthAware","0.5","Same — SAI present but EFC also mentioned"
"T-02","T","Baseline-LLM","0.5","Correct prior-prior year logic but references IRS DRT not FA-DDX"
"T-02","T","RAG-Standard","0.5","Lists correct tax fields but no FA-DDX mention"
"T-02","T","RAG-AuthAware","0.5","Lists FTI fields but omits FA-DDX replacement of IRS-DRT"
"T-03","T","Baseline-LLM","0","Says context does not provide info"
"T-03","T","RAG-Standard","1","Correct: EFC→SAI, fewer questions, FA-DDX, family size change"
"T-03","T","RAG-AuthAware","1","Correct: comprehensive FAFSA Simplification Act changes"
"T-04","T","Baseline-LLM","0","Says context does not provide info"
"T-04","T","RAG-Standard","1","Correct: number in college no longer reduces SAI; family size tax-based"
"T-04","T","RAG-AuthAware","1","Correct"
"T-05","T","Baseline-LLM","0","Says context does not provide info"
"T-05","T","RAG-Standard","1","Correct: number in college no longer factor in SAI formula"
"T-05","T","RAG-AuthAware","1","Correct"
"T-06","T","Baseline-LLM","0","Says context does not provide info"
"T-06","T","RAG-Standard","0","Wrong: says all business net worth must be reported — misses small business exclusion"
"T-06","T","RAG-AuthAware","0","Same error — states business reported regardless of size"
"T-07","T","Baseline-LLM","0","Says context does not provide info"
"T-07","T","RAG-Standard","0","Says context does not provide 529 info — retrieval failure"
"T-07","T","RAG-AuthAware","0","Same — retrieval failure"
"T-08","T","Baseline-LLM","0","Says context does not provide info about grandparent 529 change"
"T-08","T","RAG-Standard","0","Same — retrieval failure"
"T-08","T","RAG-AuthAware","0","Same — retrieval failure"
"T-09","T","Baseline-LLM","0.5","Describes SAI replaces EFC correctly but says 'will replace' (future tense — outdated)"
"T-09","T","RAG-Standard","1","Correct: SAI definition, replaces EFC, can be negative"
"T-09","T","RAG-AuthAware","1","Correct"
"T-10","T","Baseline-LLM","0","Says context does not provide info"
"T-10","T","RAG-Standard","0.5","Correct can update but references mobile app which may be outdated"
"T-10","T","RAG-AuthAware","0.5","Correct renewal process but no specific FA-DDX annual refresh mention"
